query_number,query_cursor,success,reviews_retrieved
342,AoIIPv6ciHnSykg%3D,1.0,100.0
343,AoIIPv6Hbnmb4js%3D,1.0,100.0
344,AoIIPv5xJnKno1U%3D,1.0,100.0
345,AoIIPv5OBXq8nsQB,1.0,100.0
346,AoIIPv4m1XWsqyI%3D,1.0,100.0
347,AoIIPv4Ls3%2BKxG4%3D,1.0,100.0
348,AoIIPv3iaX7Q3YQB,1.0,100.0
349,AoIIPv3BYXC3tjc%3D,1.0,100.0
350,AoIIPv2mxnzz4b4B,1.0,100.0
351,AoIIPv13MnGM5IUB,1.0,100.0
352,AoIIPv1XvHaC8iY%3D,1.0,100.0
353,AoIIPv0uc3D6mHU%3D,1.0,100.0
354,AoIIPvz6anDg45AB,1.0,100.0
355,AoIIPvzBh3Xhqzw%3D,1.0,100.0
356,AoIIPvyXMXyluIkB,1.0,100.0
357,AoIIPvxZlny19AE%3D,1.0,100.0
358,AoIIPvwfAHKRwGA%3D,1.0,100.0
359,AoIIPvvg33zW0X8%3D,1.0,100.0
360,AoIIPvu/lH6mpH0%3D,1.0,100.0
361,AoIIPvt1p37do60B,1.0,100.0
362,AoIIPvtB4Xq3y1w%3D,1.0,100.0
363,AoIIPvr6%2BH/bttEB,1.0,100.0
364,AoIIPvru6XyTnW0%3D,1.0,100.0
365,AoIIPvrH2nnAkVs%3D,1.0,100.0
366,AoIIPvp7LX24lqAB,1.0,100.0
367,AoIIPvpDu3OeuIcB,1.0,100.0
368,AoIIPvn/%2BH7CltYB,1.0,100.0
369,AoIIPvnKn3Gt7KsB,1.0,100.0
370,AoIIPvmH6HHjnTI%3D,1.0,100.0
371,AoIIPvk0Jnue%2Bu4B,1.0,100.0
372,AoIIPvkJr3a80WE%3D,1.0,100.0
373,AoIIPvjFh3COya4B,1.0,100.0
374,AoIIPvhwVHuk/jc%3D,1.0,100.0
375,AoIIPvgfdXOgsDI%3D,1.0,100.0
376,AoIIPvfbkHWvi6MB,1.0,100.0
377,AoIIPvemenOE44QB,1.0,100.0
378,AoIIPvdcr33s8ekB,1.0,100.0
379,AoIIPvcVHn2OyR0%3D,1.0,100.0
380,AoIIPvbDVHulxtEB,1.0,100.0
381,AoIIPvaErXOSs1s%3D,1.0,100.0
382,AoIIPvZGa3vMmEM%3D,1.0,100.0
383,AoIIPvYVI3azmasB,1.0,100.0
384,AoIIPvXXZ3yEl2c%3D,1.0,100.0
385,AoIIPvXCj3GwoFU%3D,1.0,100.0
386,AoIIPvWBrnjwudEB,1.0,100.0
387,AoIIPvVTJnnc1b4B,1.0,100.0
388,AoIIPvT55H6pxmw%3D,1.0,100.0
389,AoIIPvTeoH/J2bMB,1.0,100.0
390,AoIIPvTeoHOmyYgB,1.0,100.0
391,AoIIPvTeoH7X%2B0I%3D,1.0,100.0
392,AoIIPvTH83vYiMAB,1.0,100.0
393,AoIIPvSWA3Xmt7EB,1.0,100.0
394,AoIIPvQ/YHW3wM0B,1.0,100.0
395,AoIIPvPPT3fI4kY%3D,1.0,100.0
396,AoIIPvPPLXHd3eYB,1.0,100.0
397,AoIIPvPPLXnottoB,1.0,100.0
398,AoIIPvPPLX/lss8B,1.0,100.0
399,AoIIPvPPLXb3qckB,1.0,100.0
400,AoIIPvPPLXeBoMMB,1.0,100.0
401,AoIIPvPPLXnYp7wB,1.0,100.0
402,AoIIPvPPLX6jnbYB,1.0,100.0
403,AoIIPvPPLXDrx7EB,1.0,100.0
404,AoIIPvPPLXWt9K4B,1.0,100.0
405,AoIIPvPPLXWt5akB,1.0,100.0
406,AoIIPvPPLXfkzKUB,1.0,100.0
407,AoIIPvPPLXfQsaAB,1.0,100.0
408,AoIIPvPPLX7F45oB,1.0,100.0
409,AoIIPvPPLXeAp5MB,1.0,100.0
410,AoIIPvPPLXX%2B%2B44B,1.0,100.0
411,AoIIPvPPLXSytYsB,1.0,100.0
412,AoIIPvPPLX2jmIMB,1.0,100.0
413,AoIIPvPPLXOanXc%3D,1.0,100.0
414,AoIIPvPPLXfe3Ws%3D,1.0,100.0
415,AoIIPvPPLXOGt2E%3D,1.0,100.0
416,AoIIPvPPLXCh5FA%3D,1.0,100.0
417,AoIIPvPPLXKf2zk%3D,1.0,100.0
418,AoIIPvPPLXHH5yE%3D,1.0,100.0
419,AoIIPvN9IHbd2lo%3D,1.0,100.0
420,AoIIPvMzM37K9Xk%3D,1.0,100.0
421,AoIIPvLrgXjYwW4%3D,1.0,100.0
422,AoIIPvLCN3KHq9EB,1.0,100.0
423,AoIIPvLCN3b//pAB,1.0,100.0
424,AoIIPvLCN3z08k4%3D,1.0,100.0
425,AoIIPvKmCXDr7boB,1.0,100.0
426,AoIIPvJKJ3fy0yM%3D,1.0,100.0
427,AoIIPvH/%2BHWjn08%3D,1.0,100.0
428,AoIIPvHjyXLxmXM%3D,1.0,100.0
429,AoIIPvGXHHm615QB,1.0,100.0
430,AoIIPvEov3GSvLoB,1.0,100.0
431,AoIIPvDw6XPS/okB,1.0,100.0
432,AoIIPvCJf3fyxIYB,1.0,100.0
433,AoIIPvA4GXPkqTw%3D,1.0,100.0
434,AoIIPvAAAH349yw%3D,1.0,100.0
435,AoIIPu%2BPR3KMi4oB,1.0,100.0
436,AoIIPu8iGH6Y9TY%3D,1.0,100.0
437,AoIIPu7DVHrytXE%3D,1.0,100.0
438,AoIIPu5G8XvZns4B,1.0,100.0
439,AoIIPu3mvHOElucB,1.0,100.0
440,AoIIPu1X3nqrwyw%3D,1.0,100.0
441,AoIIPuy3kXSj49MB,1.0,100.0
442,AoIIPuxOtXLm4j8%3D,1.0,100.0
443,AoIIPuutGXGCmpgB,1.0,100.0
444,AoIIPusxwnGjin8%3D,1.0,100.0
445,AoIIPuqQrHaIrVw%3D,1.0,100.0
446,AoIIPuoH9nLU7L4B,1.0,100.0
447,AoIIPumxdXnm/Dc%3D,1.0,100.0
448,AoIIPuk7XHvk81c%3D,1.0,100.0
449,AoIIPui6H3Kk3sIB,1.0,100.0
450,AoIIPui6H3iF/I0B,1.0,100.0
451,AoIIPui6H3zX4j0%3D,1.0,100.0
452,AoIIPuhEr3%2BUvKkB,1.0,100.0
453,AoIIPufFBX%2BXjK0B,1.0,100.0
454,AoIIPudl/nOEoIsB,1.0,100.0
455,AoIIPubNKXXLvC8%3D,1.0,100.0
456,AoIIPuYcvXeuzmI%3D,1.0,100.0
457,AoIIPuVhs3jGmsMB,1.0,100.0
458,AoIIPuSSWHiJ3awB,1.0,100.0
459,AoIIPuOzIH722aoB,1.0,100.0
460,AoIIPuMYuXKhhcQB,1.0,100.0
461,AoIIPuIjW3ORjYIB,1.0,100.0
462,AoIIPuD6332XqB8%3D,1.0,100.0
463,AoIIPt/TLHz0sIAB,1.0,100.0
464,AoIIPt7WVnCh4p0B,1.0,100.0
465,AoIIPt6b4X%2BTtzI%3D,1.0,100.0
466,AoIIPt27e3qD6U4%3D,1.0,100.0
467,AoIIPtyJ0nnm9KgB,1.0,100.0
468,AoIIPtspHHTI%2B7MB,1.0,100.0
469,AoIIPtn623PFo0o%3D,1.0,100.0
470,AoIIPtiNbXai5aoB,1.0,100.0
471,AoIIPtbdan%2B8ylY%3D,1.0,100.0
472,AoIIPtVVYX/riqwB,1.0,100.0
473,AoIIPtQMpnDGvcAB,1.0,100.0
474,AoIIPtIIW3bbxlw%3D,1.0,100.0
475,AoIIPtApjXKggaYB,1.0,100.0
476,AoIIPs3g1nL777sB,1.0,100.0
477,AoIIPswgDHXTt9AB,1.0,100.0
478,AoIIPspo9XzknpwB,1.0,100.0
479,AoIIPsc%2Bq3ru64kB,1.0,100.0
480,AoIIPsS/03XOkYgB,1.0,100.0
481,AoIIPsG1IH7dws4B,1.0,100.0
482,AoIIPr35vnCXv7wB,1.0,100.0
483,AoIIPrmMoHS9lYkB,1.0,100.0
484,AoIIPrQV9H31yoEB,1.0,100.0
485,AoIIPq3%2B2nGqkqcB,1.0,100.0
486,AoIIPqRTTHHc1r0B,1.0,100.0
487,AoIIPpN1AHHH4c4B,1.0,100.0
488,AoIIPUEX%2BHvTjtIB,1.0,100.0
489,AoIIAAAAAHKJrfUB,1.0,100.0
490,AoIIAAAAAHr0kfUB,1.0,100.0
491,AoIIAAAAAHLC6/QB,1.0,100.0
492,AoIIAAAAAHO8xvQB,1.0,100.0
493,AoIIAAAAAHrBoPQB,1.0,100.0
494,AoIIAAAAAHX4//MB,1.0,100.0
495,AoIIAAAAAHqn5fMB,1.0,100.0
496,AoIIAAAAAHCexvMB,1.0,100.0
497,AoIIAAAAAH/3nfMB,1.0,100.0
498,AoIIAAAAAH/8gPMB,1.0,100.0
499,AoIIAAAAAHne3vIB,1.0,100.0
500,AoIIAAAAAHHjuPIB,1.0,100.0
501,AoIIAAAAAH/ylvIB,1.0,100.0
502,AoIIAAAAAH/y9fEB,1.0,100.0
